idade,genero,estado_civil,regiao,renda_mensal,nivel_educacional,perfil_investidor,tempo_experiencia_mercado,valor_total_investido,objetivo_principal,setores_preferenciais,frequencia_operacoes,conhecimento_mercado,usa_analise_tecnica,usa_analise_fundamentalista
44,Outro,Casado,Sul,20189.61,Pós-graduado,Arrojado,23.6,302948.5,Renda Passiva,Varejo,Mensal,Alto,Sim,Não
74,Outro,Viúvo,Centro-Oeste,33582.17,Pós-graduado,Conservador,14.7,765256.45,Educação dos Filhos,Outro,Day Trade,Alto,Sim,Sim
31,Feminino,Divorciado,Sudeste,31600.99,Médio,Moderado,19.2,273169.64,Diversificação,Commodities,Anual,Baixo,Sim,Sim
44,Outro,Divorciado,Nordeste,28486.61,Médio,Conservador,6.4,784400.96,Educação dos Filhos,Outro,Ocasional (Buy and Hold),Médio,Não,Sim
73,Masculino,Viúvo,Nordeste,5862.52,Pós-graduado,Agressivo,11.8,598708.54,Compra de Imóvel,Energia Elétrica,Day Trade,Médio,Sim,Sim
59,Feminino,Solteiro,Sul,11155.32,Médio,Arrojado,18.6,70619.85,Renda Passiva,Commodities,Day Trade,Baixo,Sim,Não
21,Masculino,Divorciado,Norte,7574.74,Superior Incompleto,Moderado,20.6,885305.76,Educação dos Filhos,Tecnologia,Semanal (Swing Trade),Baixo,Sim,Não
74,Masculino,Viúvo,Sul,6073.66,Médio,Arrojado,14.2,230709.28,Aposentadoria,Outro,Ocasional (Buy and Hold),Alto,Sim,Sim
51,Masculino,Casado,Sul,36912.53,Superior Incompleto,Moderado,26.9,728119.04,Educação dos Filhos,Papel e Celulose,Semanal (Swing Trade),Médio,Não,Não
19,Masculino,Solteiro,Centro-Oeste,33158.51,Médio,Arrojado,15.0,371607.71,Renda Passiva,Commodities,Mensal,Médio,Sim,Sim
67,Outro,Viúvo,Centro-Oeste,36423.88,Médio,Moderado,22.3,404024.16,Compra de Imóvel,Saneamento,Anual,Médio,Não,Sim
36,Outro,Solteiro,Nordeste,18272.41,Fundamental,Moderado,21.8,798384.67,Aposentadoria,Energia Elétrica,Semanal (Swing Trade),Baixo,Sim,Sim
37,Feminino,Viúvo,Norte,3546.08,Superior Completo,Conservador,17.3,159053.97,Diversificação,Commodities,Ocasional (Buy and Hold),Alto,Não,Não
55,Masculino,Viúvo,Sul,29126.21,Superior Incompleto,Moderado,6.3,536724.41,Viagem,Tecnologia,Semanal (Swing Trade),Médio,Não,Sim
22,Feminino,Casado,Centro-Oeste,5672.3,Pós-graduado,Arrojado,18.1,824082.34,Compra de Imóvel,Commodities,Mensal,Médio,Não,Não
65,Feminino,Divorciado,Sudeste,15004.27,Superior Completo,Agressivo,20.5,547944.85,Curto Prazo,Outro,Day Trade,Médio,Não,Sim
23,Outro,Solteiro,Norte,15406.48,Superior Incompleto,Conservador,10.4,873561.4,Educação dos Filhos,Saúde,Semanal (Swing Trade),Alto,Sim,Não
21,Masculino,Divorciado,Sudeste,33874.96,Superior Incompleto,Conservador,22.6,998622.22,Diversificação,Varejo,Day Trade,Baixo,Não,Não
73,Outro,Solteiro,Sul,19717.4,Superior Incompleto,Arrojado,26.4,279882.74,Compra de Imóvel,Financeiro,Day Trade,Alto,Não,Não
75,Outro,Viúvo,Nordeste,18820.26,Superior Completo,Moderado,21.6,177592.17,Diversificação,Saneamento,Ocasional (Buy and Hold),Médio,Sim,Sim
30,Feminino,Viúvo,Sul,30073.05,Médio,Moderado,7.3,669534.64,Educação dos Filhos,Financeiro,Mensal,Baixo,Não,Não
52,Masculino,Viúvo,Nordeste,19824.39,Superior Completo,Moderado,15.5,938046.83,Viagem,Saúde,Mensal,Alto,Não,Sim
65,Masculino,Viúvo,Centro-Oeste,24113.55,Fundamental,Arrojado,15.0,866027.13,Compra de Imóvel,Construção Civil,Anual,Baixo,Sim,Sim
44,Masculino,Casado,Sudeste,37091.57,Médio,Moderado,24.6,626075.77,Curto Prazo,Financeiro,Anual,Baixo,Não,Sim
42,Masculino,Viúvo,Sudeste,19475.81,Médio,Conservador,13.0,771836.14,Diversificação,Saúde,Semanal (Swing Trade),Alto,Sim,Não
73,Masculino,Divorciado,Norte,31673.46,Médio,Agressivo,24.1,930216.22,Curto Prazo,Varejo,Day Trade,Baixo,Sim,Sim
67,Outro,Casado,Centro-Oeste,17711.95,Pós-graduado,Arrojado,12.8,817956.14,Viagem,Papel e Celulose,Semanal (Swing Trade),Médio,Sim,Sim
40,Feminino,Viúvo,Centro-Oeste,23748.87,Médio,Agressivo,20.1,38739.48,Educação dos Filhos,Construção Civil,Semanal (Swing Trade),Alto,Não,Não
38,Feminino,Casado,Norte,33558.88,Médio,Moderado,28.8,338512.58,Reserva de Emergência,Construção Civil,Day Trade,Médio,Sim,Não
25,Masculino,Divorciado,Norte,34959.44,Superior Incompleto,Agressivo,25.8,9905.68,Viagem,Energia Elétrica,Ocasional (Buy and Hold),Baixo,Sim,Sim
69,Outro,Divorciado,Sudeste,13884.13,Fundamental,Agressivo,14.2,642837.38,Educação dos Filhos,Commodities,Anual,Baixo,Não,Não
53,Masculino,Casado,Sudeste,23398.11,Superior Completo,Moderado,19.5,446511.73,Aposentadoria,Commodities,Day Trade,Médio,Sim,Sim
72,Masculino,Casado,Sudeste,37811.86,Médio,Conservador,5.0,260113.5,Curto Prazo,Outro,Day Trade,Alto,Sim,Não
30,Outro,Solteiro,Norte,13288.73,Superior Incompleto,Moderado,13.1,604982.33,Renda Passiva,Outro,Day Trade,Médio,Não,Sim
27,Outro,Solteiro,Nordeste,6968.06,Superior Incompleto,Agressivo,10.5,40916.76,Reserva de Emergência,Energia Elétrica,Semanal (Swing Trade),Médio,Não,Não
39,Outro,Divorciado,Sul,14340.9,Médio,Arrojado,10.0,572156.94,Diversificação,Saneamento,Anual,Médio,Sim,Não
56,Masculino,Solteiro,Centro-Oeste,18147.43,Superior Completo,Agressivo,14.5,495235.9,Educação dos Filhos,Saúde,Day Trade,Alto,Não,Sim
29,Outro,Solteiro,Centro-Oeste,7056.18,Superior Incompleto,Agressivo,0.6,650334.11,Reserva de Emergência,Commodities,Semanal (Swing Trade),Médio,Não,Não
35,Outro,Divorciado,Sul,30499.21,Superior Incompleto,Moderado,9.5,37134.23,Compra de Imóvel,Saúde,Ocasional (Buy and Hold),Baixo,Sim,Não
68,Feminino,Solteiro,Centro-Oeste,16238.81,Superior Incompleto,Arrojado,28.8,141712.56,Educação dos Filhos,Saúde,Day Trade,Médio,Não,Sim
65,Masculino,Divorciado,Sul,2292.71,Fundamental,Agressivo,23.4,304804.46,Aposentadoria,Saneamento,Semanal (Swing Trade),Baixo,Não,Sim
42,Outro,Divorciado,Centro-Oeste,7755.0,Fundamental,Agressivo,5.3,403354.75,Aposentadoria,Papel e Celulose,Mensal,Baixo,Não,Não
74,Outro,Solteiro,Norte,36538.94,Fundamental,Agressivo,10.1,649185.83,Renda Passiva,Financeiro,Anual,Alto,Não,Sim
67,Feminino,Casado,Nordeste,31393.74,Superior Completo,Arrojado,10.2,75277.0,Educação dos Filhos,Financeiro,Day Trade,Alto,Não,Sim
27,Masculino,Solteiro,Nordeste,8172.15,Superior Completo,Conservador,7.1,310367.73,Reserva de Emergência,Outro,Mensal,Médio,Não,Não
55,Outro,Divorciado,Nordeste,30396.49,Fundamental,Agressivo,1.5,988026.71,Aposentadoria,Financeiro,Ocasional (Buy and Hold),Baixo,Sim,Não
56,Outro,Casado,Nordeste,23964.3,Pós-graduado,Moderado,18.8,319258.61,Renda Passiva,Tecnologia,Semanal (Swing Trade),Baixo,Sim,Sim
51,Outro,Casado,Norte,21750.73,Fundamental,Agressivo,27.3,227076.69,Aposentadoria,Outro,Semanal (Swing Trade),Baixo,Não,Sim
54,Feminino,Solteiro,Sudeste,7610.34,Fundamental,Agressivo,1.9,267364.48,Aposentadoria,Outro,Anual,Médio,Sim,Sim
44,Masculino,Divorciado,Nordeste,5791.76,Superior Incompleto,Conservador,27.8,977801.57,Diversificação,Construção Civil,Mensal,Baixo,Sim,Não
70,Feminino,Divorciado,Sudeste,23086.93,Fundamental,Conservador,3.4,111462.48,Viagem,Varejo,Day Trade,Baixo,Sim,Não
27,Masculino,Solteiro,Sudeste,21771.67,Superior Completo,Conservador,29.2,86948.25,Viagem,Financeiro,Mensal,Médio,Sim,Não
43,Outro,Divorciado,Sul,14984.85,Pós-graduado,Moderado,18.7,85101.5,Viagem,Saúde,Anual,Médio,Não,Não
41,Feminino,Divorciado,Sudeste,15773.82,Superior Completo,Agressivo,26.9,334114.75,Aposentadoria,Tecnologia,Semanal (Swing Trade),Baixo,Sim,Sim
51,Masculino,Solteiro,Nordeste,7315.86,Superior Incompleto,Conservador,20.8,983358.71,Educação dos Filhos,Financeiro,Anual,Alto,Sim,Sim
48,Outro,Solteiro,Sul,26456.64,Superior Incompleto,Agressivo,8.9,686386.19,Viagem,Tecnologia,Mensal,Alto,Sim,Sim
44,Masculino,Casado,Nordeste,15069.54,Superior Incompleto,Moderado,20.4,153364.65,Curto Prazo,Outro,Mensal,Alto,Sim,Sim
39,Outro,Divorciado,Nordeste,7276.34,Médio,Arrojado,24.9,592375.41,Reserva de Emergência,Saneamento,Anual,Alto,Sim,Sim
64,Masculino,Casado,Nordeste,1549.58,Superior Completo,Agressivo,14.6,750181.99,Curto Prazo,Financeiro,Ocasional (Buy and Hold),Médio,Não,Não
50,Feminino,Casado,Sudeste,13183.65,Superior Completo,Agressivo,8.9,580482.07,Reserva de Emergência,Energia Elétrica,Semanal (Swing Trade),Médio,Sim,Sim
66,Outro,Viúvo,Norte,11076.85,Pós-graduado,Arrojado,21.8,756948.89,Viagem,Financeiro,Mensal,Baixo,Não,Não
58,Outro,Solteiro,Sudeste,25510.21,Pós-graduado,Arrojado,18.0,645637.21,Reserva de Emergência,Saúde,Mensal,Alto,Não,Sim
29,Feminino,Solteiro,Sul,6545.35,Superior Incompleto,Moderado,23.1,136976.23,Viagem,Financeiro,Anual,Baixo,Não,Sim
49,Outro,Casado,Sudeste,1770.67,Fundamental,Moderado,26.7,137500.32,Educação dos Filhos,Papel e Celulose,Day Trade,Baixo,Sim,Não
43,Feminino,Divorciado,Centro-Oeste,18434.11,Fundamental,Conservador,13.7,436111.83,Compra de Imóvel,Varejo,Mensal,Alto,Sim,Sim
54,Outro,Divorciado,Nordeste,4860.06,Médio,Agressivo,25.4,678088.3,Educação dos Filhos,Construção Civil,Semanal (Swing Trade),Médio,Sim,Não
39,Masculino,Solteiro,Centro-Oeste,23293.56,Superior Completo,Agressivo,0.8,469364.04,Educação dos Filhos,Financeiro,Mensal,Alto,Não,Sim
44,Feminino,Viúvo,Sudeste,12661.26,Médio,Agressivo,27.0,24079.84,Compra de Imóvel,Outro,Day Trade,Médio,Sim,Não
38,Outro,Viúvo,Centro-Oeste,8647.06,Superior Completo,Moderado,8.4,994449.9,Aposentadoria,Construção Civil,Anual,Alto,Não,Sim
61,Outro,Viúvo,Nordeste,16071.71,Pós-graduado,Agressivo,13.9,893776.47,Aposentadoria,Financeiro,Day Trade,Médio,Não,Não
73,Outro,Solteiro,Nordeste,14968.63,Superior Completo,Arrojado,6.4,861453.21,Diversificação,Saúde,Semanal (Swing Trade),Médio,Não,Não
67,Feminino,Divorciado,Norte,37661.96,Fundamental,Agressivo,8.3,245851.42,Educação dos Filhos,Financeiro,Mensal,Médio,Não,Não
74,Outro,Viúvo,Sudeste,11524.92,Fundamental,Agressivo,25.6,459459.33,Viagem,Outro,Mensal,Alto,Sim,Sim
66,Feminino,Viúvo,Nordeste,3085.19,Superior Completo,Moderado,18.4,928545.1,Renda Passiva,Saúde,Day Trade,Médio,Não,Não
52,Outro,Divorciado,Sul,31524.08,Fundamental,Moderado,4.3,369942.32,Compra de Imóvel,Financeiro,Anual,Alto,Sim,Não
28,Outro,Casado,Centro-Oeste,5513.25,Médio,Arrojado,24.4,878001.35,Curto Prazo,Construção Civil,Mensal,Alto,Não,Não
63,Masculino,Divorciado,Centro-Oeste,25705.42,Fundamental,Agressivo,14.3,982521.39,Educação dos Filhos,Varejo,Ocasional (Buy and Hold),Baixo,Não,Sim
31,Masculino,Divorciado,Norte,14950.92,Superior Completo,Conservador,24.6,726300.55,Educação dos Filhos,Energia Elétrica,Anual,Baixo,Não,Não
31,Masculino,Viúvo,Norte,28702.04,Superior Incompleto,Agressivo,28.9,677862.06,Diversificação,Varejo,Ocasional (Buy and Hold),Baixo,Sim,Não
45,Feminino,Divorciado,Norte,10962.56,Superior Completo,Moderado,4.0,422529.41,Diversificação,Financeiro,Ocasional (Buy and Hold),Alto,Não,Não
33,Masculino,Divorciado,Sul,24219.17,Pós-graduado,Moderado,25.8,216562.62,Aposentadoria,Papel e Celulose,Semanal (Swing Trade),Alto,Sim,Não
18,Outro,Casado,Centro-Oeste,5471.48,Médio,Arrojado,17.0,376070.39,Educação dos Filhos,Varejo,Semanal (Swing Trade),Baixo,Não,Sim
74,Outro,Divorciado,Centro-Oeste,36320.0,Pós-graduado,Arrojado,1.2,965864.55,Compra de Imóvel,Construção Civil,Anual,Alto,Não,Não
68,Masculino,Divorciado,Sudeste,39325.66,Pós-graduado,Arrojado,3.2,307911.13,Reserva de Emergência,Commodities,Mensal,Baixo,Sim,Sim
32,Masculino,Viúvo,Sudeste,23338.65,Médio,Arrojado,21.1,849940.41,Reserva de Emergência,Commodities,Semanal (Swing Trade),Médio,Não,Sim
27,Outro,Divorciado,Sudeste,38265.32,Pós-graduado,Arrojado,3.7,176151.0,Renda Passiva,Varejo,Mensal,Baixo,Sim,Sim
21,Feminino,Solteiro,Sudeste,14863.42,Fundamental,Moderado,14.4,614780.49,Compra de Imóvel,Papel e Celulose,Ocasional (Buy and Hold),Médio,Sim,Sim
69,Feminino,Divorciado,Sudeste,37903.0,Superior Incompleto,Moderado,8.4,549341.52,Compra de Imóvel,Varejo,Anual,Alto,Não,Sim
23,Masculino,Viúvo,Centro-Oeste,30782.93,Médio,Agressivo,20.9,534600.32,Viagem,Financeiro,Ocasional (Buy and Hold),Médio,Não,Sim
51,Feminino,Casado,Sul,21805.44,Superior Incompleto,Conservador,3.4,688221.5,Educação dos Filhos,Construção Civil,Semanal (Swing Trade),Médio,Sim,Sim
61,Masculino,Solteiro,Centro-Oeste,16253.51,Superior Incompleto,Conservador,13.6,273528.84,Viagem,Construção Civil,Semanal (Swing Trade),Baixo,Sim,Sim
34,Feminino,Solteiro,Nordeste,24035.43,Fundamental,Agressivo,4.8,456363.81,Educação dos Filhos,Papel e Celulose,Day Trade,Médio,Não,Não
31,Masculino,Divorciado,Centro-Oeste,29356.03,Superior Incompleto,Arrojado,26.4,457383.19,Viagem,Papel e Celulose,Mensal,Baixo,Não,Não
30,Outro,Casado,Sul,31247.46,Superior Incompleto,Arrojado,26.6,861532.84,Diversificação,Tecnologia,Semanal (Swing Trade),Baixo,Sim,Sim
32,Feminino,Viúvo,Nordeste,18133.89,Superior Incompleto,Arrojado,19.6,877194.51,Viagem,Energia Elétrica,Mensal,Baixo,Não,Sim
62,Outro,Solteiro,Sul,15606.48,Superior Completo,Conservador,5.9,798710.88,Aposentadoria,Papel e Celulose,Ocasional (Buy and Hold),Alto,Não,Não
71,Feminino,Solteiro,Nordeste,12085.63,Médio,Arrojado,17.0,841448.13,Aposentadoria,Varejo,Mensal,Baixo,Sim,Não
43,Masculino,Casado,Sul,3950.45,Fundamental,Arrojado,9.7,153005.65,Compra de Imóvel,Outro,Anual,Baixo,Sim,Não
43,Feminino,Casado,Norte,10723.82,Superior Completo,Arrojado,7.2,881572.43,Compra de Imóvel,Construção Civil,Day Trade,Baixo,Não,Sim
56,Outro,Viúvo,Sudeste,11432.39,Superior Incompleto,Agressivo,8.6,684399.35,Diversificação,Financeiro,Anual,Médio,Sim,Sim
41,Feminino,Solteiro,Sul,4741.5,Superior Completo,Agressivo,3.0,470270.22,Compra de Imóvel,Papel e Celulose,Mensal,Baixo,Não,Sim
36,Masculino,Divorciado,Norte,39425.94,Pós-graduado,Agressivo,27.2,836106.24,Curto Prazo,Varejo,Anual,Baixo,Sim,Sim
20,Masculino,Solteiro,Sudeste,4967.86,Superior Completo,Moderado,27.3,406747.82,Curto Prazo,Tecnologia,Anual,Baixo,Não,Sim
69,Feminino,Casado,Norte,14724.36,Fundamental,Arrojado,3.1,487346.31,Diversificação,Energia Elétrica,Day Trade,Baixo,Não,Não
27,Feminino,Viúvo,Sul,4099.74,Médio,Arrojado,15.7,883376.12,Diversificação,Energia Elétrica,Anual,Médio,Sim,Sim
44,Outro,Solteiro,Norte,5210.8,Superior Completo,Moderado,11.3,162635.19,Curto Prazo,Construção Civil,Ocasional (Buy and Hold),Baixo,Sim,Sim
22,Feminino,Viúvo,Norte,13847.44,Superior Incompleto,Moderado,12.9,436758.78,Educação dos Filhos,Tecnologia,Anual,Baixo,Sim,Sim
20,Feminino,Divorciado,Centro-Oeste,14726.17,Médio,Conservador,9.3,765868.88,Reserva de Emergência,Construção Civil,Ocasional (Buy and Hold),Baixo,Não,Não
32,Masculino,Casado,Sul,3964.87,Médio,Conservador,29.6,653469.95,Curto Prazo,Saúde,Mensal,Alto,Sim,Não
39,Outro,Viúvo,Centro-Oeste,6060.79,Fundamental,Arrojado,2.0,846607.8,Viagem,Financeiro,Day Trade,Médio,Sim,Não
19,Feminino,Solteiro,Norte,15081.68,Médio,Arrojado,14.1,951771.34,Compra de Imóvel,Saúde,Ocasional (Buy and Hold),Baixo,Sim,Sim
46,Masculino,Solteiro,Sudeste,33193.34,Superior Completo,Moderado,5.7,169796.66,Viagem,Financeiro,Semanal (Swing Trade),Baixo,Sim,Sim
60,Masculino,Casado,Sul,34328.28,Fundamental,Moderado,14.4,329572.43,Educação dos Filhos,Energia Elétrica,Ocasional (Buy and Hold),Baixo,Não,Sim
46,Feminino,Divorciado,Sudeste,8232.48,Pós-graduado,Arrojado,19.7,678127.35,Compra de Imóvel,Financeiro,Day Trade,Médio,Não,Sim
37,Masculino,Divorciado,Centro-Oeste,31529.97,Pós-graduado,Conservador,27.6,322678.55,Renda Passiva,Outro,Day Trade,Alto,Sim,Não
73,Masculino,Solteiro,Sudeste,11558.78,Superior Completo,Conservador,26.4,329561.22,Compra de Imóvel,Saneamento,Semanal (Swing Trade),Médio,Não,Sim
63,Masculino,Viúvo,Norte,21255.47,Médio,Agressivo,12.7,516725.07,Viagem,Tecnologia,Mensal,Médio,Sim,Sim
70,Feminino,Casado,Nordeste,32630.68,Fundamental,Moderado,5.8,398851.93,Educação dos Filhos,Outro,Anual,Médio,Não,Não
54,Feminino,Casado,Sul,17218.88,Fundamental,Arrojado,5.9,294057.34,Curto Prazo,Financeiro,Day Trade,Baixo,Não,Sim
22,Masculino,Casado,Sul,15418.88,Pós-graduado,Conservador,19.9,475820.83,Reserva de Emergência,Outro,Mensal,Baixo,Não,Sim
45,Masculino,Solteiro,Sudeste,28234.85,Pós-graduado,Arrojado,16.2,913858.62,Renda Passiva,Outro,Semanal (Swing Trade),Alto,Sim,Sim
71,Outro,Divorciado,Norte,2783.79,Superior Completo,Arrojado,18.0,831789.9,Curto Prazo,Papel e Celulose,Semanal (Swing Trade),Médio,Sim,Sim
64,Outro,Viúvo,Nordeste,38435.64,Fundamental,Conservador,10.4,640437.84,Reserva de Emergência,Tecnologia,Anual,Médio,Sim,Não
62,Masculino,Solteiro,Norte,14395.6,Pós-graduado,Moderado,25.4,65181.59,Compra de Imóvel,Papel e Celulose,Mensal,Médio,Não,Não
38,Outro,Casado,Sudeste,22785.55,Pós-graduado,Conservador,7.8,169449.55,Reserva de Emergência,Energia Elétrica,Anual,Alto,Sim,Sim
66,Outro,Divorciado,Sudeste,33722.37,Pós-graduado,Agressivo,24.2,569130.1,Diversificação,Financeiro,Mensal,Médio,Não,Sim
66,Outro,Divorciado,Centro-Oeste,9214.02,Médio,Agressivo,26.0,748297.41,Educação dos Filhos,Outro,Mensal,Baixo,Não,Não
58,Outro,Viúvo,Norte,18944.66,Médio,Conservador,11.6,291480.54,Compra de Imóvel,Outro,Semanal (Swing Trade),Médio,Não,Sim
72,Outro,Solteiro,Sudeste,29585.41,Pós-graduado,Conservador,6.5,920781.15,Viagem,Saneamento,Ocasional (Buy and Hold),Médio,Sim,Não
75,Outro,Divorciado,Centro-Oeste,22087.07,Fundamental,Arrojado,7.8,866359.23,Curto Prazo,Energia Elétrica,Semanal (Swing Trade),Médio,Não,Sim
67,Outro,Casado,Norte,12734.88,Fundamental,Agressivo,0.3,350979.8,Curto Prazo,Tecnologia,Day Trade,Baixo,Sim,Não
58,Feminino,Divorciado,Centro-Oeste,26900.35,Fundamental,Conservador,13.1,939194.86,Compra de Imóvel,Saneamento,Semanal (Swing Trade),Alto,Não,Sim
52,Outro,Viúvo,Centro-Oeste,15690.94,Superior Incompleto,Arrojado,5.7,296182.39,Diversificação,Papel e Celulose,Ocasional (Buy and Hold),Alto,Sim,Sim
46,Feminino,Divorciado,Nordeste,30649.09,Superior Completo,Agressivo,18.7,830741.57,Curto Prazo,Outro,Ocasional (Buy and Hold),Alto,Não,Não
56,Feminino,Solteiro,Centro-Oeste,27476.31,Fundamental,Agressivo,18.9,715519.43,Diversificação,Papel e Celulose,Ocasional (Buy and Hold),Baixo,Não,Sim
70,Outro,Casado,Sudeste,27672.73,Fundamental,Conservador,10.8,81632.94,Viagem,Construção Civil,Semanal (Swing Trade),Alto,Sim,Sim
45,Feminino,Casado,Sul,9657.56,Médio,Arrojado,16.0,32861.59,Educação dos Filhos,Construção Civil,Ocasional (Buy and Hold),Médio,Sim,Sim
49,Masculino,Viúvo,Sul,21925.02,Fundamental,Arrojado,5.0,731580.35,Diversificação,Varejo,Ocasional (Buy and Hold),Médio,Sim,Não
37,Feminino,Solteiro,Nordeste,3884.39,Pós-graduado,Agressivo,0.6,558791.26,Educação dos Filhos,Saneamento,Ocasional (Buy and Hold),Médio,Não,Não
53,Masculino,Casado,Sudeste,15440.81,Superior Completo,Conservador,9.7,960191.11,Viagem,Energia Elétrica,Day Trade,Médio,Sim,Não
21,Masculino,Casado,Norte,8240.6,Pós-graduado,Agressivo,24.0,359455.13,Viagem,Tecnologia,Mensal,Médio,Sim,Não
36,Masculino,Casado,Nordeste,37822.46,Superior Completo,Conservador,13.8,836191.35,Reserva de Emergência,Varejo,Ocasional (Buy and Hold),Alto,Não,Sim
61,Feminino,Casado,Sul,8517.27,Médio,Moderado,28.6,257838.43,Compra de Imóvel,Varejo,Mensal,Médio,Sim,Sim
50,Feminino,Viúvo,Sul,27309.39,Superior Completo,Arrojado,8.4,46707.77,Educação dos Filhos,Commodities,Anual,Médio,Não,Não
28,Outro,Casado,Nordeste,35072.0,Fundamental,Conservador,26.4,885572.16,Compra de Imóvel,Papel e Celulose,Semanal (Swing Trade),Alto,Sim,Sim
21,Feminino,Divorciado,Sudeste,36219.25,Superior Completo,Agressivo,27.6,670532.24,Curto Prazo,Papel e Celulose,Ocasional (Buy and Hold),Alto,Não,Não
22,Masculino,Casado,Sul,39640.02,Superior Completo,Arrojado,23.7,907340.18,Curto Prazo,Varejo,Day Trade,Alto,Sim,Não
27,Masculino,Divorciado,Norte,24071.11,Fundamental,Agressivo,5.8,728765.62,Educação dos Filhos,Varejo,Semanal (Swing Trade),Baixo,Sim,Não
70,Masculino,Viúvo,Norte,33339.26,Superior Completo,Moderado,11.8,382701.41,Compra de Imóvel,Financeiro,Day Trade,Médio,Sim,Sim
54,Feminino,Casado,Centro-Oeste,13888.38,Pós-graduado,Arrojado,24.2,3621.25,Diversificação,Outro,Ocasional (Buy and Hold),Baixo,Não,Não
27,Masculino,Casado,Centro-Oeste,38542.45,Médio,Arrojado,27.2,384096.16,Compra de Imóvel,Papel e Celulose,Ocasional (Buy and Hold),Alto,Não,Sim
62,Feminino,Divorciado,Centro-Oeste,10942.4,Fundamental,Agressivo,22.2,835484.48,Curto Prazo,Papel e Celulose,Day Trade,Baixo,Não,Sim
61,Feminino,Casado,Nordeste,36093.36,Médio,Arrojado,15.6,230935.24,Curto Prazo,Commodities,Mensal,Alto,Sim,Sim
41,Feminino,Viúvo,Sudeste,13229.71,Fundamental,Arrojado,28.5,891875.03,Curto Prazo,Tecnologia,Mensal,Médio,Não,Não
42,Masculino,Casado,Norte,18452.92,Médio,Conservador,13.4,219538.87,Renda Passiva,Construção Civil,Mensal,Alto,Não,Não
30,Feminino,Solteiro,Nordeste,13893.21,Superior Incompleto,Arrojado,16.1,486463.29,Compra de Imóvel,Financeiro,Ocasional (Buy and Hold),Alto,Sim,Não
25,Outro,Casado,Centro-Oeste,5699.94,Médio,Moderado,5.1,991710.05,Curto Prazo,Varejo,Anual,Baixo,Não,Não
48,Outro,Solteiro,Sul,27245.15,Superior Incompleto,Arrojado,22.0,35272.47,Curto Prazo,Saneamento,Semanal (Swing Trade),Médio,Não,Não
21,Feminino,Divorciado,Centro-Oeste,37014.73,Superior Completo,Moderado,13.0,390606.25,Reserva de Emergência,Saúde,Mensal,Alto,Sim,Não
33,Masculino,Solteiro,Nordeste,35012.93,Superior Incompleto,Arrojado,3.0,111918.26,Renda Passiva,Outro,Semanal (Swing Trade),Médio,Não,Sim
29,Feminino,Viúvo,Sudeste,23751.11,Médio,Conservador,19.2,136266.25,Diversificação,Energia Elétrica,Ocasional (Buy and Hold),Baixo,Sim,Sim
61,Masculino,Solteiro,Centro-Oeste,28604.38,Superior Incompleto,Moderado,15.6,139314.97,Renda Passiva,Saúde,Mensal,Alto,Não,Não
27,Feminino,Viúvo,Sudeste,17186.96,Médio,Agressivo,5.4,404126.53,Renda Passiva,Energia Elétrica,Semanal (Swing Trade),Alto,Não,Não
60,Outro,Viúvo,Centro-Oeste,18254.97,Superior Incompleto,Agressivo,11.7,943194.69,Curto Prazo,Saúde,Day Trade,Médio,Não,Não
55,Outro,Divorciado,Sudeste,35138.07,Superior Completo,Moderado,29.4,943700.93,Renda Passiva,Varejo,Anual,Médio,Não,Sim
19,Masculino,Casado,Nordeste,26933.91,Superior Incompleto,Arrojado,13.4,522336.9,Educação dos Filhos,Saúde,Day Trade,Baixo,Sim,Sim
28,Feminino,Solteiro,Sudeste,10790.89,Superior Completo,Agressivo,1.1,473031.96,Viagem,Saneamento,Semanal (Swing Trade),Alto,Não,Não
48,Masculino,Divorciado,Sul,20033.91,Superior Incompleto,Agressivo,0.6,438530.38,Reserva de Emergência,Energia Elétrica,Mensal,Médio,Não,Sim
40,Outro,Viúvo,Norte,24204.63,Superior Incompleto,Arrojado,26.8,696657.44,Compra de Imóvel,Tecnologia,Mensal,Médio,Sim,Sim
27,Masculino,Solteiro,Centro-Oeste,36797.14,Pós-graduado,Arrojado,2.3,526958.83,Educação dos Filhos,Tecnologia,Mensal,Médio,Sim,Sim
32,Feminino,Divorciado,Sul,20781.17,Médio,Moderado,18.3,716438.25,Educação dos Filhos,Saneamento,Semanal (Swing Trade),Alto,Sim,Não
74,Outro,Casado,Nordeste,14876.33,Pós-graduado,Agressivo,5.8,767778.84,Viagem,Construção Civil,Day Trade,Baixo,Sim,Não
58,Outro,Solteiro,Sudeste,20318.34,Superior Completo,Agressivo,16.3,93281.12,Educação dos Filhos,Outro,Ocasional (Buy and Hold),Baixo,Sim,Sim
34,Feminino,Casado,Norte,30007.97,Fundamental,Arrojado,21.1,552700.06,Viagem,Tecnologia,Anual,Alto,Sim,Não
36,Outro,Divorciado,Norte,37444.03,Superior Incompleto,Moderado,17.7,376674.44,Diversificação,Energia Elétrica,Semanal (Swing Trade),Médio,Não,Não
57,Feminino,Viúvo,Nordeste,7149.25,Fundamental,Agressivo,0.6,656543.86,Renda Passiva,Financeiro,Day Trade,Baixo,Sim,Não
63,Masculino,Solteiro,Nordeste,11636.47,Superior Completo,Conservador,16.2,648756.71,Compra de Imóvel,Energia Elétrica,Mensal,Baixo,Não,Não
